total,rank,title,artist,release_date,genre,language,lyrics_clean,source
25,25,goliath,jessie reyez,2025-01-31,"rb,pop",english,"intro mm new jessie mmm hmm what chorus when i say i love you you i mean i would pull every star from the sky down or square up with any goliath i ll moonwalk it through any fire when i say i love you you i mean i ain t tryna do this life without you it s a bad day until i m around you i was bout to give up til i found you verse 1 you love me like a sunday mornin but you kiss me like a friday night many blessings, the cup runneth over slow lovin is a holy night levee broke and the water s pourin you turn me into apple pie no letting go, babe, it s you i m holding holdin onto til the end of time pre chorus finders keepers, losers weepers let the streets cry finders keepers, losers weepers now you re all mine chorus when i say i love you you i mean i would pull every star from the sky down or square up with any goliath or moonwalk it through any fire when i say i love you you i mean i ain t tryna do this life without you it s a bad day until i m around you i was bout to give up til i found you post chorus when i say i love you, ooh ooh ooh ooh, mm when i say i love ya, ooh ooh ooh ooh, yuh what verse 2 deleted every contact from my phone, baby if i m honest, i ain t tryna talk to no one but you cuddled in your arms, i found a home, baby if i m honest, i dropped every single ho for you i m a little loca, but you re loco, we match and geminis aren t really known for getting attached but i ve been lookin at our pics in my phone think you got me hooked on you like a hit song pre chorus finders keepers, losers weepers let the streets cry finders keepers, losers weepers now you re all mine chorus when i say i love you you i mean i would pull every star from the sky down or square up with any goliath or moonwalk it through any fire when i say i love you you i mean i ain t tryna do this life without you it s a bad day until i m around you i was bout to give up til i found you post chorus when i say i love you, ooh ooh ooh ooh, mm when i say i love you, ooh ooh ooh ooh, yuh",https://genius.com/Jessie-reyez-goliath-lyrics
26,26,happy without me,declan j donovan,2025-01-31,pop,english,"verse 1 i ve been beat up, i ve been broken i ve been searching for a lighthouse in the open holding on to bad emotion but your words are just a droplet in the ocean pre chorus you know it s true hoping one day it gets better i ve been waiting for forever, stuck on you but now i know where i m going for the first time chorus i see heartache in the distance trouble in the dark throwing stones along the river they ll never get that far if loving you s the reason i m drowning in the s a then maybe being happy is finding anoth r happy without me finding another happy without me verse 2 i ve been dreaming we were golden then i wake in a sweater, now i m hopeless pre chorus yeah, you know it s true hoping one day it gets better i ve been waiting for forever, stuck on you but now i know where i m going for the first time chorus i see heartache in the distance trouble in the dark throwing stones along the river they ll never get that far if loving you s the reason i m drowning in the sea then maybe being happy is finding another happy without me finding another happy without me outro if loving you s the reason i m drowning in the sea then maybe being happy is finding another happy without me",https://genius.com/Declan-j-donovan-happy-without-me-lyrics
28,28,horses in heaven,randy travis,2025-01-31,country,english,"verse 1 there are horses in heaven it says it in the bible right there in revelation red and pale, and black and white elijah left this world on a chariot of fire when jesus comes back, he might just borrow the silver for the night chorus there are horses in heaven so i bet that god s a cowboy heading off into the sunset in a big white stetson hat every time you hear the thunder it s just a posse full of angels riding those horses up in heaven golden saddles on their backs verse 2 when the roll is called up yonder and they put me out to pasture i hope there s a pretty palomino just beyond the gate i ll see my dad and pawpaw you know that they ll be waiting to pull a plug of red man and take out across the plains chorus cause there are horses in heaven yeah, i bet that god s a cowboy heading off into the sunset in a big white stetson hat every time you hear that thunder it s just a posse full of angels riding those horses up in heaven golden saddles on their backs bridge we re all gonna get there in a big long cadillac once you cross that river you won t wanna cross it back chorus cause there are horses in heaven so you know that god loves cowboys heading off into the sunset in a big white stetson hat and every time you hear the thunder it s just a posse full of angels riding those horses up in heaven golden saddles on their backs outro there are horses in heaven and thank the lord for that",https://genius.com/Randy-travis-horses-in-heaven-lyrics
30,30,i dare you,rascal flatts,2025-01-31,country,english,"intro gary levox ooh verse 1 gary levox i almost lost my mind out on mulholland drive yeah, it s hard to see the view all i see is you, all i see is you you give me just enough oh, dangerous to call it love you know my intentions seein picket fences couldn t come too soon pre chorus gary levox oh yeah, i know you re careful cause you been broken before you re almost there i know you wanna cross that line chorus gary levox so i dare you i dare you to love somebody like me yeah, i dare you i dare you to let me be your everything oh, i dare you i dare you i dare you to run and, baby, don t look back i know it scares you cause no one prepared you but, baby, i dare you baby, i dare you vesre 2 nick jonas i know that it s a big decision but we ain t runnin with scissors i ain t playin no games with your heart might jump too far and get in too deep never know what this thing could ve been, yeah chorus joe jonas nick jonas so i dare you dare you i dare you to love somebody like me yeah, i dare you i dare you, oh i dare you to let me be your everything yeah oh, i dare you i dare you i dare you to run and, baby, don t look back i know it scares you cause no one prepared you but, baby, i dare you baby, i dare you bridge gary levox, nick jonas joe jonas run, baby, run, baby, run just run, baby, run, baby, run oh run, baby, run, baby, run i dare you oh, i dare you i dare you oh, i dare you run, baby, run, baby, run baby, run run, baby, run, baby, run i dare you run, baby, run, baby, run i dare you oh, i dare you baby, i dare you i dare you",https://genius.com/Rascal-flatts-i-dare-you-lyrics
32,32,im the problem,morgan wallen,2025-01-31,country,english,"verse 1 you say i ll never change i m just a go around town with some gasoline just tryin to bum a flame gonna burn the whole place down and how do you explain ever fallin in love with a guy like me in the first place then turn around, say that i m the worst thing chorus i guess i m the problem and you re ms. never do no wrong if i m so awful then why d you stick around this long and if it s the whiskey then why you keep on pullin it off the shelf you hate that when you look at me, you halfway see yourself and it got me thinkin if i m the problem, well, you might be the reason verse 2 we try to go our s parate ways and we re back and forth lik a swingin door and tomorrow s like yesterday some days better than the night before and you re back with me again then you go and tell your friends chorus that i m the problem and you re ms. never do no wrong if i m so awful then why d you stick around this long and if it s the whiskey then why you keep on pullin it off the shelf you hate that when you look at me, you halfway see yourself and it got me thinkin if i m the problem, well, you might be the reason bridge if i m such a waste of breath, such a waste of time then why you on your way to waste another friday night chorus if i m the problem and you re ms. never do no wrong if i m so awful then why d you stick around this long and if it s the whiskey then why you keep on pullin it off the shelf you hate that when you look at me, you halfway see yourself and it got me thinkin if i m the problem, well, you might be the reason",https://genius.com/Morgan-wallen-im-the-problem-lyrics
35,35,rattlesnake,jack van cleaf,2025-01-31,"folk,country",english,"verse 1 hmm losing touch in tennessee freedom s got the best of me goddamn my opportunities goddamn this easy livin gasping for the mountain air crawling up the campus stairs my throne is an electric chair i m stunned with indecision verse 2 hmm pray for upgrades on my soul tearing through an open road questioning my moral code and screaming at a windshield knowing better all along knowing all i know is wrong throwing up my alcohol am i making this a big deal ooh chorus oh my skull is just a big white house to some punk ass kids from out of town they stay up late and talk real loud and sometimes i feel like kicking them out interlude ooh ooh verse 3 hmm self absorbed most of the time obsessed with sex and suicide th dreams of texas girls gone by i li like california stumbling over all the states mumblin like a basket case oh, love is like a rattlesnake before it bites it tries to warn ya chorus but my heart is just a little boy holding hands like brand new toys drunk on freedom, stuck on choice just cooing for the rattle s noise verse 4 hmm out of town and two clicks past i found the western diamondback it blocks my self destructive path i laugh, it shakes its tail says, if you hurt all of your friends and disappear around the bend you bet, you come right back again and try to love though you may fail outro ooh ooh",https://genius.com/Jack-van-cleaf-rattlesnake-lyrics
38,38,sheets,maddie zahm,2025-01-31,pop,english,"verse 1 why did i hear you out when i knew that you were never gonna change mm look at you now and oh my god, you should be so ashamed mm it s the same old game, just a different blonde and you ll run away and she can t move on oh no, mm mm mm why did i hear you out i should ve packed my shit, set fire to your place pre chorus all that you do is you hit and you run damn, that must be fun chorus guess it s over now, you re with someone else and it s only been a matter of two weeks you put me through hell, i ve been by myself got me questioning, did you even change your sheets since you laid with me ooh ooh ooh, ooh ooh ooh since you laid with me ooh ooh ooh, ooh ooh ooh verse 2 are you happy now happy now that you broke me so bad that i hardly eat did you tell her how you ll kiss her til a new bitch has you on your knees it s the same old shit, it s delirious how you hit and run, you re so quick with it bitch, huh, are you happy now that you took my time, my love knowing you would leave ooh chorus guess it s over now you re with someone else and it s only been a matter of two weeks you put me through hell, i ve been by myself got me questioning, did you even change your sheets since you laid with me ooh ooh ooh, ooh ooh ooh since you laid with me ooh ooh ooh, ooh ooh ooh bridge do you feel bad or empathy for all the shit you did to me so count your days, your casualties cause they turn into enemies do you feel bad or empathy for all the shit you did to me so count your days, your casualties cause they turn into enemies chorus guess it s over now, you re with someone else and it s only been a matter of two weeks you put me through hell, i ve been by myself got me questioning, did you even change your sheets since you laid with me ooh ooh ooh, ooh ooh ooh since you laid with me ooh ooh ooh, ooh ooh ooh since you laid with me ooh ooh ooh, ooh ooh ooh since you laid with me ooh ooh ooh, ooh ooh ooh since you laid with me",https://genius.com/Maddie-zahm-sheets-lyrics
39,39,nosebleeds,doechii,2025-02-03,hiphop,english,"verse 1 you salty ass bitches givin lawry s bad gyal doechii, call her michael lowrey yeah, you hoes is funny, you should do comedy leave your ass leakin , lookin like my monthlies interlude i don t know, is she gonna go crazy is she gonna go crazy everybody wanted to know what doechii would do if she didn t win i guess we ll never chorus stepped out the swamp to the motherfuckin stage ho cut my mic off cause i m bout to misbehave hah will she ever lose man, i guess we ll never know will she lose h r cool i guess we ll nev r i hopped out the swamp, gave the bitch props doechii, where you been doechii went pop will she ever lose man, i guess we ll never know will she lose her cool i guess we ll never verse 2 i guess we ll never know guess we ll never see the day that doechii crown falls guess you ll never live to see the day that doechii loses do si doin on these doechii mutants doechii don t critique, i seek improvement interlude right now is my time and my moment thank you to my swamp and thank you, god, i was broke i thanks you, god, i thank you to top god entertainment oop, top dawg entertainment sza, zay, moosa, and the hatin ass stans mommy, blake high school, and all the bitches i surpassed i knew it tonight, we poppin bottles, fuckin hoes, and forgettin our name to the audience wonderin how it feels to be famous i guess you ll never chorus stepped out the swamp to the motherfuckin stage ho cut my mic off cause i m bout to misbehave hah will she ever lose man, i guess we ll never know will she lose her cool i guess we ll never verse 3 these bitches can t be half of me, thanks to my anatomy showin up an hour late like, thanks to the academy now i understand why they mad at me and hate on my anatomy it s cause i look good from the balcony i look good from the nosebleeds, bitch if you offended, you ain t know me, bitch that ain t doechii, that s the old chii, sis i look good from the nosebleeds, bitch outro i ve been at a place where it was hard as it could get if you never suffered, you could never tell me shit and i can have a million and still would hit the lick lifestyle, nigga, this my lifestyle, guess you ll never know",https://genius.com/Doechii-nosebleeds-lyrics
43,43,high fashion,addison rae,2025-02-14,pop,english,"intro have you verse 1 have you ever dreamt of bein seen ah not by someone, more like in a magazine wantin somethin more than just a hit ah nothing else can make me feel like this pre chorus i know i m drunk, but chorus i don t need your drugs i d rather get, rather get high fashion i don t want cheap love i d rather get high fashion i don t need your drugs i d rather get, rather get high fashion i don t want cheap love i d rather get high fashion verse 2 i d rather feel the sun kiss on my skin ah with a cigarette pressed between my tits oh you know i m not an easy fuck ah but wh n it comes to shoes, i ll be a slut",https://genius.com/Addison-rae-high-fashion-lyrics
45,45,came in it,eem triplin,2025-02-17,hiphop,english,"intro you are, you are a special gift and you have taken the gift that god has given you and you are, you, a gift and i don t know if you know what you re doin for somebody else but you doin somethin for somebody else and your grandma loves you so much and, and she sees what you got, she sees who you are that s who you are and i can t lie til i turn against you hook came in this bitch, uh, what what came in it, what what what verse 1 came in this bitch, guns blazin , money made me lazy i ain t even say shit, she already know my language writin all these songs, i done made the ho famous when she broke my heart, sh done made the boy famous you can ch ck my files and my history too hahaha put thotbreaker on my resume, uh you is not my damn slime, you is not my damn kind you is not gang, you ain t rockin with the crew ha trips to new york just to kick it with my boo ting on my side like i eat jamaican food wanna wife a ice spice when the time right but i gotta run it up first, then i might heard i m ridin round flexed up, believe the hype, mh hook yeah, she fell in love on sight when i came in this bitch, uh what what came in it, what what what uh verse 2 boss up your life, come and fuck with the kid you ain t seen it all, i ll show you how it is money makin mitch, i ll make it back quick keep my women safe, i ll split a nigga wig rap niggas diss, tell the opp to suck a dick hahaha i ain t got no filter, i ll tell you how it is i look so good, she callin me her man i m singin to the ho like will.i.am she said, how you look so rich , i told her, well, i am oh, they asked me what my pronoun is, i told them folks, i m him uh uh, i m bout my chicken, chicken, need my green eggs and ham, uh i ll pull up all pink, mean killa kam gang in this bitch, gang in this bitch she ain t know who i was til i hook til i came in this bitch, uh came in it, what what what outro charlie myles not i don t wanna feel you wanna feel you what do i even got to lose what do i even got to lose cause when you think you feel alone hahaha take a minute for yourself and you won t ah, ah, ooh ah ah, ah, ooh ah and they don t have to tell me because i know, because that s who you are that s who you are and i can t lie til i turn against you",https://genius.com/Eem-triplin-came-in-it-lyrics
46,46,praying for your downfall,jensen mcrae,2025-02-19,"folk,pop",english,"verse 1 you still get stoned to make a phone call you re still a bachelor with those blank walls keep telling people you re six feet tall i m finished praying for your downfall verse 2 can t go on thinking it was my fault and pushing pins into a cursed doll keep draining stellas and blaming your mom i m finished praying for your downfall chorus so many hours putting words in your mouth to think i thought i almost figured you out i can t make nice but i can make it make sense now da da da, da da, da dum, i don t need to see you fall down da da da, da da, da dum, i don t need to see you fall down verse 3 still think my sparkle makes you look small still think a fight can make a love false just keep doing whatever you want i m finished praying for your downfall verse 4 i can t keep begging for what i lost and cursing tough love from a good god keep whistling, boy, i was never your dog but i m done praying for your downfall chorus so many hours putting words in your mouth to think i thought i almost figured you out i can t make nice but i can make it make sense now da da da, da da, da dum, i don t need to see you fall down so many lost boys that i swor could be found to think i thought i was swimming while i drowned can t say it cur d me but i ll say that it counts da da da, da da, da dum, i don t need to see you fall down bridge i can t keep praying, i, i can t keep praying i can t keep i can t keep praying for your downfall i can t keep praying, i, i can t keep praying i can t keep praying for your downfall outro so many hours putting words in your mouth to think i thought i almost figured you out i can t make nice but i can make it make sense now da da da, da da, da dum, don t need to see you fall down i ll be the bigger man now, don t need to see you fall down",https://genius.com/Jensen-mcrae-praying-for-your-downfall-lyrics
47,47,ordinary,alex warren,2025-02-20,pop,english,"verse 1 they say, the holy water s watered down and this town s lost its faith our colors will fade eventually so, if our time is runnin out day after day we ll make the mundane our masterpiece pre chorus oh, my, my oh, my, my love i take one look at you chorus you re takin me out of the ordinary i want you layin me down til we re dead and buried on the edge of your knife, stayin drunk on your vine the angels up in the clouds are jealous knowin we found somethin so out of the ordinary you got me kissin th ground of your sanctuary shatter me with your touch, oh, lord, return m to dust the angels up in the clouds are jealous knowin we found verse 2 hopeless hallelujah on this side of heaven s gate oh, my life, how do ya breathe and take my breath away at your altar, i will pray you re the sculptor, i m the clay pre chorus oh, my, my chorus you re takin me out of the ordinary i want you layin me down til we re dead and buried on the edge of your knife, stayin drunk on your vine the angels up in the clouds are jealous knowin we found somethin so out out of the ordinary ordinary you got me kissing the ground ground of your sanctuary sanctuary shatter me with your touch, oh, lord, return me to dust the angels up in the clouds are jealous knowin we found bridge somethin so heavenly, higher than ecstasy whenever you re next to me, oh, my, my world was in black and white until i saw your light i thought you had to die to find chorus somethin so out of the ordinary i want you laying me down til we re dead and buried on the edge of your knife, stayin drunk on your vine the angels up in the clouds are jealous knowin we found somethin so out out of the ordinary you got me kissing the ground ground of your sanctuary sanctuary shatter me with your touch, oh, lord, return me to dust the angels up in the clouds are jealous knowin we found",https://genius.com/Alex-warren-ordinary-lyrics
52,2,opalite,taylor swift,2025-10-03,pop,english,"i had a bad habit of missing lovers past my brother used to call it eating out of the trash its never gonna last i thought my house was haunted i used to live with ghosts and all the perfect couples said, when you know, you know and, when you dont, you dont and all of the foes, and all of the friends ha, ha have seen it before, theyll see it again ha, ha life is a song, it ends when it ends i was wrong but my mama told me, its alright you were dancing through the lightning strikes sleepless in the onyx night but now, the sky is opalite, ohoh, oh, oh, oh oh, my lord never met no one like you bfore you had to make your own sunshine but now, th sky is opalite, ohoh, oh, oh, oh, oh you couldnt understand it why you felt alone you were in it for real she was in her phone and you were just a pose and dont we try to love love love, love we give it all we got give it all we got you finally left the table uh, uh and what a simple thought youre starving til youre not and all of the foes, and all of the friends ha, ha have messed up before, theyll mess up again ha, ha life is a song, it ends when it ends you move on and thats when i told you, its alright you were dancing through the lightning strikes sleepless in the onyx night but now, the sky is opalite, ohoh, oh, oh, oh oh, my lord never met no one like you before you had to make your own sunshine but now, the sky is opalite, ohoh, oh, oh, oh, oh this is just a storm inside a teacup but shelter here with me, my love thunder like a drum this life will beat you up, up, up, up this is just a temporary speed bump but failure brings you freedom and i can bring you love, love, love, love love dont you sweat it, baby, its alright you were dancing through the lightning strikes oh, so sleepless in the onyx night but now, the sky is opalite, ohoh, oh, oh, oh oh, my lord never made no one like you before no you had to make your own sunshine but now, the sky is opalite, ohoh, oh, oh, oh, oh",https://genius.com/Taylor-swift-opalite-lyrics
